Position,Q_up,Q_down,Q_left,Q_right,Best Action
"(0,0)",2.56,6.31,3.77,0.77,↓
"(0,1)",-0.36,-0.35,3.05,-0.33,←
"(0,2)",-0.27,-0.27,-0.31,-0.26,→
"(0,3)",-0.20,-9.20,-0.24,-0.18,→
"(0,4)",-0.13,-0.03,-0.17,-0.14,↓
"(1,0)",2.95,6.78,3.41,2.02,↓
"(1,2)",-0.25,-7.71,-0.25,-6.13,←
"(1,4)",-0.08,0.39,-5.70,-0.06,↓
"(2,0)",4.61,7.27,4.50,1.04,↓
"(2,1)",-0.09,-7.71,3.13,-8.91,←
"(2,3)",-1.90,-0.02,-1.90,0.07,→
"(2,4)",-0.06,1.94,-0.06,0.25,↓
"(3,0)",2.92,7.77,3.22,-9.94,↓
"(3,2)",-1.90,4.50,-1.90,-0.02,↓
"(3,4)",0.08,5.70,0.37,0.72,↓
"(4,0)",4.21,5.77,5.29,8.29,→
"(4,1)",-7.18,4.97,5.34,8.83,→
"(4,2)",1.13,5.89,5.32,9.40,→
"(4,3)",6.66,6.67,5.77,10.00,→
"(4,4)",0.00,0.00,0.00,0.00,↑
